qid,doc_id,rank,title,url,relevance
q001,en_000180,1,bangladesh cricket: is the old culture of interference back?,https://www.thedailystar.net/star-multimedia/sports-multimedia/news/bangladesh-cricket-the-old-culture-interference-back-4027566,
q001,en_000067,2,bpl sylhet phase tickets to go on sale sunday,https://www.thedailystar.net/sports/cricket/news/bpl-sylhet-phase-tickets-go-sale-sunday-4062621,
q001,en_000178,3,when will women athletes get safe space in bangladesh?,https://www.thedailystar.net/star-multimedia/sports-multimedia/news/when-will-women-athletes-get-safe-space-bangladesh-4032581,
q001,en_000139,4,sohan captain for zim t20is,https://www.thedailystar.net/sports/cricket/news/sohan-captain-zim-t20is-3077041,
q001,en_000068,5,"bcb expresses solidarity with the daily star, prothom alo",https://www.thedailystar.net/sports/cricket/news/bcb-expresses-solidarity-the-daily-star-prothom-alo-4062611,
q001,en_000112,6,bangladesh tops south asia in air pollution,https://www.thedailystar.net/environment/pollution/air-pollution/news/bangladesh-tops-south-asia-air-pollution-4062186,
q001,en_000025,7,"bangladesh getting gsp plus: rights situation, labour law have to improve",https://www.thedailystar.net/news/bangladesh/rights/news/bangladesh-getting-gsp-plus-rights-situation-labour-law-has-improve-3074426,
q001,en_000162,8,(uncertain) future of journalism in bangladesh,https://www.thedailystar.net/star-weekend/news/uncertain-future-journalism-bangladesh-1833094,
q001,en_000043,9,nrbc bank organises ai-driven aml & cft conference,https://www.thedailystar.net/business/news/nrbc-bank-organises-ai-driven-aml-cft-conference-4062626,
q001,en_000017,10,‘you cannot remain silent’,https://www.thedailystar.net/news/bangladesh/news/you-cannot-remain-silent-3076231,
q002,en_000092,1,auto rice mill near school,https://www.thedailystar.net/news/bangladesh/news/auto-rice-mill-near-school-3073726,
q002,en_000039,2,govt’s treasury bill borrowing up 4.3% in nov,https://www.thedailystar.net/business/economy/news/govts-treasury-bill-borrowing-43-nov-4062776,
q002,en_000000,3,auschamp,https://www.thedailystar.net/auschamp,
q002,en_000001,4,momentaus,https://www.thedailystar.net/momentaus-3,
q002,en_000002,5,momentindia,https://www.thedailystar.net/momentindia-0,
q002,en_000003,6,saaussemi,https://www.thedailystar.net/saaussemi,
q002,en_000004,7,motmshami,https://www.thedailystar.net/motmshami-0,
q002,en_000005,8,indnzf,https://www.thedailystar.net/indnzf,
q002,en_000006,9,momentkohli,https://www.thedailystar.net/momentkohli,
q002,en_000007,10,motmdavid,https://www.thedailystar.net/motmdavid,
q003,ba_000162,1,জকসু নির্বাচনে শিবিরের ২১ দফা ইশতেহার,https://www.jagonews24.com/campus/news/1077696,
q003,ba_000166,2,"নদীর পাড় যেন মৃত্যুকূপ, নৌকায় উঠতে ‘সার্কাস’",https://www.jagonews24.com/country/news/1077692,
q003,ba_000001,3,বাংলাদেশ হাইকমিশনের বাইরে ব্যারিকেড ভাঙার চেষ্টা হয়নি: ভারত,https://www.risingbd.com/international/news/632934,
q003,ba_000002,4,রাবির আওয়ামীপন্থি ডিনদের অফিসে তালা,https://www.risingbd.com/campus/news/632933,
q003,ba_000003,5,মদের দোকানে প্রবেশাধিকার বাড়িয়েছে সৌদি আরব,https://www.risingbd.com/international/news/632932,
q003,ba_000004,6,"সাবেক যুবলীগ নেতাকে ছাড়াতে থানায় বিএনপি নেতা, ছবি তোলায় সাংবাদিকদের মারধর",https://www.risingbd.com/bangladesh/news/632931,
q003,ba_000005,7,"বিএনপির কার্যালয়ে আ.লীগের হামলা, আহত ৪",https://www.risingbd.com/bangladesh/news/632930,
q003,ba_000007,8,বক্সিং ডে’র আগেই অ্যাশেজ সিরিজ কামিন্সদের পকেটে,https://www.risingbd.com/sports/news/632928,
q003,ba_000008,9,"প্রথম আলো ও ডেইলি স্টারে অগ্নিসংযোগকারী কয়েকজন শনাক্ত, গ্রেপ্তার করা হবে",https://www.risingbd.com/national/news/632927,
q003,ba_000010,10,সাংবাদিকতা ও মতপ্রকাশের স্বাধীনতা রক্ষার আহ্বান রুহুল কবির রিজভীর,https://www.risingbd.com/politics/news/632925,
q004,ba_000078,1,কলকাতায় বাংলাদেশ উপ-দূতাবাসের সামনে বিক্ষোভ,https://www.risingbd.com/international/news/632857,
q004,ba_000001,2,বাংলাদেশ হাইকমিশনের বাইরে ব্যারিকেড ভাঙার চেষ্টা হয়নি: ভারত,https://www.risingbd.com/international/news/632934,
q004,ba_000129,3,ঢাকায় পৌঁছেছে শহীদ শরিফ ওসমান হাদির মরদেহ,https://bangladeshdiplomat.com/11050/latest/%e0%a6%a2%e0%a6%be%e0%a6%95%e0%a6%be%e0%a6%af%e0%a6%bc-%e0%a6%aa%e0%a7%8c%e0%a6%81%e0%a6%9b%e0%a7%87%e0%a6%9b%e0%a7%87-%e0%a6%b6%e0%a6%b9%e0%a7%80%e0%a6%a6-%e0%a6%b6%e0%a6%b0%e0%a6%bf%e0%a6%ab/,
q004,ba_000117,4,দিল্লিতে বাংলাদেশের হাইকমিশনারকে হুমকি,https://www.bd-journal.com/bangladesh/299726/দিল্লিতে-বাংলাদেশের-হাইকমিশনারকে-হুমকি,
q004,ba_000163,5,শাহজালালে লাগেজ কাটা বন্ধে বডি ওর্ন ক্যামেরা কার্যক্রমের উদ্বোধন,https://www.jagonews24.com/national/news/1077695,
q004,ba_000122,6,যুক্তরাজ্য থেকে দেশবাসীর উদ্দেশে জামায়াত আমিরের জরুরি বার্তা,https://bangladeshdiplomat.com/11080/special-news/%e0%a6%af%e0%a7%81%e0%a6%95%e0%a7%8d%e0%a6%a4%e0%a6%b0%e0%a6%be%e0%a6%9c%e0%a7%8d%e0%a6%af-%e0%a6%a5%e0%a7%87%e0%a6%95%e0%a7%87-%e0%a6%a6%e0%a7%87%e0%a6%b6%e0%a6%ac%e0%a6%be%e0%a6%b8%e0%a7%80%e0%a6%b0/,
q004,ba_000123,7,"হাদি হত্যায় উদ্বিগ্ন জাতিসংঘ, দ্রুত নিরপেক্ষ তদন্তের আহ্বান",https://bangladeshdiplomat.com/11077/special-news/%e0%a6%b9%e0%a6%be%e0%a6%a6%e0%a6%bf-%e0%a6%b9%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%af%e0%a6%bc-%e0%a6%89%e0%a6%a6%e0%a7%8d%e0%a6%ac%e0%a6%bf%e0%a6%97%e0%a7%8d%e0%a6%a8-%e0%a6%9c%e0%a6%be/,
q004,ba_000026,8,দহগ্রামে অনুপ্রবেশের অভিযোগে বিএসএফ সদস্য আটক,https://www.risingbd.com/bangladesh/news/632909,
q004,ba_000010,9,সাংবাদিকতা ও মতপ্রকাশের স্বাধীনতা রক্ষার আহ্বান রুহুল কবির রিজভীর,https://www.risingbd.com/politics/news/632925,
q004,ba_000049,10,লক্ষ্মীপুরে অগ্নিসংযোগে শিশু মৃত্যুর ঘটনায় মির্জা ফখরুলের শোক,https://www.risingbd.com/politics/news/632886,
q005,en_000010,1,cu admin identifies 2 molesters,https://www.thedailystar.net/youth/education/campus/news/cu-admin-identifies-2-molesters-3076956,
q005,en_000014,2,cu sexual assault: fingers pointed at bcl men,https://www.thedailystar.net/news/bangladesh/crime-justice/news/cu-sexual-assault-fingers-pointed-bcl-men-3076216,
q005,en_000103,3,passed yet not passed,https://www.thedailystar.net/news/bangladesh/news/passed-yet-not-passed-3052521,
q005,en_000183,4,"khadijatul kubra, once imprisoned in dsa case, to contest in jnucsu polls",https://www.thedailystar.net/star-multimedia/news-multimedia/news/khadijatul-kubra-once-imprisoned-dsa-case-contest-jnucsu-polls-4024801,
q005,en_000088,5,the nuisance of distorting begum rokeya’s legacy,https://www.thedailystar.net/opinion/views/news/the-nuisance-distorting-begum-rokeyas-legacy-4060086,
q005,en_000122,6,butterfly fair: a day of colours at ju,https://www.thedailystar.net/environment/natural-resources/wildlife/news/butterfly-fair-day-colours-ju-4051681,
q005,en_000165,7,putting the “news” in our news feeds,https://www.thedailystar.net/star-weekend/news/putting-the-news-our-news-feeds-1833103,
q005,en_000000,8,auschamp,https://www.thedailystar.net/auschamp,
q005,en_000001,9,momentaus,https://www.thedailystar.net/momentaus-3,
q005,en_000002,10,momentindia,https://www.thedailystar.net/momentindia-0,
q006,ba_000041,1,ইফাদ অটোসের এজিএমের তারিখ পরিবর্তন,https://www.risingbd.com/economics/stock-market/632894,
q006,ba_000173,2,আইপিএল খেলা কেম্প চট্টগ্রামের নতুন কোচ,https://www.jagonews24.com/sports/cricket/1077685,
q006,ba_000138,3,দেশে ২৮.৬ শতাংশ স্কুলে ৫০ শিক্ষার্থীর জন্য একটি উন্নত টয়লেট,https://www.jagonews24.com/national/news/1077720,
q006,ba_000131,4,"জিম্বাবুয়ের টেস্ট ও ওয়ানডে নেতৃত্বে পরিবর্তন, দায়িত্ব পেলেন কে?",https://www.jagonews24.com/sports/cricket/1077727,
q006,ba_000149,5,ঢাবির ২ হলের নাম পরিবর্তনের দাবিতে উপাচার্যের কার্যালয় ঘেরাও,https://www.jagonews24.com/campus/news/1077709,
q006,ba_000147,6,রংপুর-৩ আসনে জিএম কাদেরের পক্ষে মনোনয়ন ফরম নিলেন মোস্তফা,https://www.jagonews24.com/country/news/1077711,
q006,ba_000078,7,কলকাতায় বাংলাদেশ উপ-দূতাবাসের সামনে বিক্ষোভ,https://www.risingbd.com/international/news/632857,
q006,ba_000001,8,বাংলাদেশ হাইকমিশনের বাইরে ব্যারিকেড ভাঙার চেষ্টা হয়নি: ভারত,https://www.risingbd.com/international/news/632934,
q006,ba_000129,9,ঢাকায় পৌঁছেছে শহীদ শরিফ ওসমান হাদির মরদেহ,https://bangladeshdiplomat.com/11050/latest/%e0%a6%a2%e0%a6%be%e0%a6%95%e0%a6%be%e0%a6%af%e0%a6%bc-%e0%a6%aa%e0%a7%8c%e0%a6%81%e0%a6%9b%e0%a7%87%e0%a6%9b%e0%a7%87-%e0%a6%b6%e0%a6%b9%e0%a7%80%e0%a6%a6-%e0%a6%b6%e0%a6%b0%e0%a6%bf%e0%a6%ab/,
q006,ba_000117,10,দিল্লিতে বাংলাদেশের হাইকমিশনারকে হুমকি,https://www.bd-journal.com/bangladesh/299726/দিল্লিতে-বাংলাদেশের-হাইকমিশনারকে-হুমকি,
